地点,区域,Wiki链接,深度档案 (Atmosphere & Lore),视觉分镜 (Visuals),类型
索格斯铁工厂（Saugus Ironworks）,Commonwealth,https://fallout.fandom.com/zh/wiki/索格斯铁工厂,烈火地狱。锻造者帮派在这里崇拜火焰。高炉的轰鸣声掩盖了受害者的惨叫。这里展示了废土人类精神的另一种异化：对毁灭性力量的盲目崇拜。当你站在沸腾的铁水上方，你会感到热浪灼烧着你的皮肤，也灼烧着你的理智。,（详见Wiki图片库）建议搜索：辐射4 索格斯铁工厂（Saugus Ironworks） 概念图,核心地标
红火箭维修站（Red Rocket Truck Stop）,Commonwealth,https://fallout.fandom.com/zh/wiki/红火箭维修站,旅途的第一站。这里不仅是一个据点，它是你遇到“狗肉”的地方。那个孤独的红色加油站，在苍凉的废土公路上显得格外醒目。它是你最初的家，是你存放第一套动力装甲的车库，也是你心灵的避风港。,（详见Wiki图片库）建议搜索：辐射4 红火箭维修站（Red Rocket Truck Stop） 概念图,核心地标
绿顶托儿所,Commonwealth,https://fallout.fandom.com/zh/wiki/绿顶托儿所,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
联邦粮食储藏库,Commonwealth,https://fallout.fandom.com/zh/wiki/联邦粮食储藏库,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
自由博物馆（Museum of Freedom）,Commonwealth,https://fallout.fandom.com/zh/wiki/自由博物馆,英雄的起点。虽然破败，但那幅描绘独立战争的壁画依然鲜艳。这里是你第一次穿上动力装甲的地方，那种液压系统启动的声音、加特林机枪旋转的声音，定义了整个游戏的战斗基调。,（详见Wiki图片库）建议搜索：辐射4 自由博物馆（Museum of Freedom） 概念图,核心地标
芬奇农场,Commonwealth,https://fallout.fandom.com/zh/wiki/芬奇农场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
西艾弗雷特庄园,Commonwealth,https://fallout.fandom.com/zh/wiki/西艾弗雷特庄园,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
谷内餐厅,Commonwealth,https://fallout.fandom.com/zh/wiki/谷内餐厅,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
豆子镇酿酒厂,Commonwealth,https://fallout.fandom.com/zh/wiki/豆子镇酿酒厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
贝德福特车站,Commonwealth,https://fallout.fandom.com/zh/wiki/贝德福特车站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
贾尔伯兄弟废车场,Commonwealth,https://fallout.fandom.com/zh/wiki/贾尔伯兄弟废车场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
迈科药研,Commonwealth,https://fallout.fandom.com/zh/wiki/迈科药研,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
通用原子工厂,Commonwealth,https://fallout.fandom.com/zh/wiki/通用原子工厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
长脖子鲁柯斯基牌罐头厂,Commonwealth,https://fallout.fandom.com/zh/wiki/长脖子鲁柯斯基牌罐头厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
阳光海浪合作社,Commonwealth,https://fallout.fandom.com/zh/wiki/阳光海浪合作社,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
阿柏纳西农场,Commonwealth,https://fallout.fandom.com/zh/wiki/阿柏纳西农场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
马卡拉鱼产品包装厂,Commonwealth,https://fallout.fandom.com/zh/wiki/马卡拉鱼产品包装厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
黑根堡（Fort Hagen）,Commonwealth,https://fallout.fandom.com/zh/wiki/黑根堡,复仇的终点。克罗格就躲在这里。这里的建筑风格充满了冷战时期的军事压抑感。当你最终面对那个杀了你配偶、抢走你儿子的男人，听他讲着自己悲惨的一生，你会发现复仇并没有想象中那么痛快，只有空虚。,（详见Wiki图片库）建议搜索：辐射4 黑根堡（Fort Hagen） 概念图,核心地标
鼓丘食堂,Commonwealth,https://fallout.fandom.com/zh/wiki/鼓丘食堂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
鼹鼠窝（红火箭附近）,Commonwealth,https://fallout.fandom.com/zh/wiki/鼹鼠窝,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
115号兄弟哨站,Boston,https://fallout.fandom.com/zh/wiki/115号兄弟哨站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
360中心,Boston,https://fallout.fandom.com/zh/wiki/360中心,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
三叶草酒馆（The Shamrock Taphouse）,Boston,https://fallout.fandom.com/zh/wiki/三叶草酒馆,被时间遗忘的醉生梦死。这里不仅仅有酒，还有那种“喝死算了”的末世颓废感。在这里你可以找到一种叫“喝醉的快乐”的战前机器，它在无休止地讲着冷笑话，仿佛世界从未毁灭。,（详见Wiki图片库）建议搜索：辐射4 三叶草酒馆（The Shamrock Taphouse） 概念图,核心地标
东波士顿警察局,Boston,https://fallout.fandom.com/zh/wiki/东波士顿警察局,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
东波士顿预校,Boston,https://fallout.fandom.com/zh/wiki/东波士顿预校,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
乔的潜艇堡店,Boston,https://fallout.fandom.com/zh/wiki/乔的潜艇堡店,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
克罗格的家,Boston,https://fallout.fandom.com/zh/wiki/克罗格的家,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
凯伯宅邸,Boston,https://fallout.fandom.com/zh/wiki/凯伯宅邸,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
剑桥弹坑,Boston,https://fallout.fandom.com/zh/wiki/剑桥弹坑,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
剑桥聚合物研究所,Boston,https://fallout.fandom.com/zh/wiki/剑桥聚合物研究所,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
剑桥警察局,Boston,https://fallout.fandom.com/zh/wiki/剑桥警察局,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
南波士顿军事检查站,Boston,https://fallout.fandom.com/zh/wiki/南波士顿军事检查站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
南波士顿警察局,Boston,https://fallout.fandom.com/zh/wiki/南波士顿警察局,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
后巷服饰店,Boston,https://fallout.fandom.com/zh/wiki/后巷服饰店,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
大学广场（College Square）,Boston,https://fallout.fandom.com/zh/wiki/大学广场,尸鬼的食堂。这里曾是学子云集的地方，现在挤满了狂尸鬼。地铁站下方的恐怖氛围极佳，狭窄的通道、闪烁的灯光，每一转角都可能遇到死亡。这里是对“知识殿堂”毁灭的最直观展示。,（详见Wiki图片库）建议搜索：辐射4 大学广场（College Square） 概念图,核心地标
大学角,Boston,https://fallout.fandom.com/zh/wiki/大学角,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
大核融合厂建筑,Boston,https://fallout.fandom.com/zh/wiki/大核融合厂建筑,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
安德鲁车站,Boston,https://fallout.fandom.com/zh/wiki/安德鲁车站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
宪法号（USS Constitution）,Boston,https://fallout.fandom.com/zh/wiki/宪法号,荒诞的浪漫。一艘挂在银行楼顶的古代帆船，一群试图飞向大海的机器人。这可能是废土上最幽默也最感人的任务。铁甲舰长虽然是机器人，但它比大多数人类更有荣誉感。当你帮助它们点火起飞，看着船再次撞进另一栋大楼，你会忍不住大笑，然后感到一阵莫名的感动。,（详见Wiki图片库）建议搜索：辐射4 宪法号（USS Constitution） 概念图,核心地标
尚力生蠔酒吧,Boston,https://fallout.fandom.com/zh/wiki/尚力生蠔酒吧,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
崔尼帝塔,Boston,https://fallout.fandom.com/zh/wiki/崔尼帝塔,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
幻露生公司,Boston,https://fallout.fandom.com/zh/wiki/幻露生公司,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
思乐肯咖啡企业总部,Boston,https://fallout.fandom.com/zh/wiki/思乐肯咖啡企业总部,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
敏恩糕点,Boston,https://fallout.fandom.com/zh/wiki/敏恩糕点,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
昆西废墟（Quincy Ruins）,Commonwealth,https://fallout.fandom.com/zh/wiki/昆西废墟,背叛的伤痕。这里是义勇兵崩溃的地方，也是普雷斯顿心中永远的痛。枪手组织占据了这里，高架桥上的狙击手控制着一切。夺回昆西，不仅仅是一场战斗，更是一场为过去雪耻的复仇之战。,（详见Wiki图片库）建议搜索：辐射4 昆西废墟（Quincy Ruins） 概念图,核心地标
昆西警察局,Boston,https://fallout.fandom.com/zh/wiki/昆西警察局,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
昆西采石场,Boston,https://fallout.fandom.com/zh/wiki/昆西采石场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
枪手广场,Boston,https://fallout.fandom.com/zh/wiki/枪手广场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
查理斯天望剧场,Boston,https://fallout.fandom.com/zh/wiki/查理斯天望剧场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
法尼尔厅,Boston,https://fallout.fandom.com/zh/wiki/法尼尔厅,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
波士顿公共图书馆,Boston,https://fallout.fandom.com/zh/wiki/波士顿公共图书馆,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
波士顿号角报,Boston,https://fallout.fandom.com/zh/wiki/波士顿号角报,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
波士顿号角报大楼,Boston,https://fallout.fandom.com/zh/wiki/波士顿号角报大楼,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
海关塔楼,Boston,https://fallout.fandom.com/zh/wiki/海关塔楼,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
海斯特家用机器人,Boston,https://fallout.fandom.com/zh/wiki/海斯特家用机器人,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
海神能源,Boston,https://fallout.fandom.com/zh/wiki/海神能源,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
港口大亨大饭店,Boston,https://fallout.fandom.com/zh/wiki/港口大亨大饭店,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
爱尔兰之光工业造船厂,Boston,https://fallout.fandom.com/zh/wiki/爱尔兰之光工业造船厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
瓦伦丁侦探事务所,Boston,https://fallout.fandom.com/zh/wiki/瓦伦丁侦探事务所,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
皮克曼画廊,Boston,https://fallout.fandom.com/zh/wiki/皮克曼画廊,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
碉堡山,Boston,https://fallout.fandom.com/zh/wiki/碉堡山,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
米尔顿综合医院,Boston,https://fallout.fandom.com/zh/wiki/米尔顿综合医院,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
老北教堂（Old North Church）,Boston,https://fallout.fandom.com/zh/wiki/老北教堂,自由之路的终点。古老的砖墙在黑暗中沉默，只有尸鬼的脚步声回荡。这里的每一寸空气都凝重得让人喘不过气。当你沿着红线走到这里，你不仅是在寻找铁路，更是在追溯美国建国之初的那种反抗精神。,（详见Wiki图片库）建议搜索：辐射4 老北教堂（Old North Church） 概念图,核心地标
联邦银行,Boston,https://fallout.fandom.com/zh/wiki/联邦银行,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
肯德尔医院,Boston,https://fallout.fandom.com/zh/wiki/肯德尔医院,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
自由之地,Boston,https://fallout.fandom.com/zh/wiki/自由之地,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
芳邻镇旧州政府,Boston,https://fallout.fandom.com/zh/wiki/芳邻镇旧州政府,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
葛林科技基因研究院,Boston,https://fallout.fandom.com/zh/wiki/葛林科技基因研究院,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
虎不理漫画,Boston,https://fallout.fandom.com/zh/wiki/虎不理漫画,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
邮政广场,Boston,https://fallout.fandom.com/zh/wiki/邮政广场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
里维尔滩车站,Boston,https://fallout.fandom.com/zh/wiki/里维尔滩车站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
钻石城（Diamond City）,Boston,https://fallout.fandom.com/zh/wiki/钻石城,绿宝石般的奇迹。在芬威球场的高墙之内，文明在苟延残喘。探照灯、拉面摊、报社、富人区与贫民窟，这里浓缩了人类社会的所有阶层。它是混乱废土中唯一的秩序孤岛，虽然这秩序建立在对合成人的恐惧和麦多纳市长的谎言之上。这里是唯一让你觉得“像个人一样活着”的地方。,（详见Wiki图片库）建议搜索：辐射4 钻石城（Diamond City） 概念图,核心地标
阁下广场,Boston,https://fallout.fandom.com/zh/wiki/阁下广场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
马萨诸塞州政府,Boston,https://fallout.fandom.com/zh/wiki/马萨诸塞州政府,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
麻州湾医疗中心,Boston,https://fallout.fandom.com/zh/wiki/麻州湾医疗中心,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
发光海停车场,Glowing Sea,https://fallout.fandom.com/zh/wiki/发光海停车场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
发光海的红火箭维修站,Glowing Sea,https://fallout.fandom.com/zh/wiki/发光海的红火箭维修站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
弹坑之家,Glowing Sea,https://fallout.fandom.com/zh/wiki/弹坑之家,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
旧水路排水口,Glowing Sea,https://fallout.fandom.com/zh/wiki/旧水路排水口,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
维吉尔的实验室（岩洞）,Glowing Sea,https://fallout.fandom.com/zh/wiki/维吉尔的实验室,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
学院（The Institute）,Institute,https://fallout.fandom.com/zh/wiki/学院,地下的白色谎言。极致的洁白、无菌、先进，与地表的肮脏形成撕裂般的对比。这里的人自诩为人类未来的守护者，却丧失了最基本的人性。当你看到那些合成人像奴隶一样工作，看到尚恩冷漠的眼神，你会质疑：如果没有了同情心，科技的进步还有什么意义？,（详见Wiki图片库）建议搜索：辐射4 学院（The Institute） 概念图,核心地标
义勇兵城堡地堡,Brotherhood of Steel,https://fallout.fandom.com/zh/wiki/义勇兵城堡地堡,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
城堡,Brotherhood of Steel,https://fallout.fandom.com/zh/wiki/城堡,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
普利德温号主甲板,Brotherhood of Steel,https://fallout.fandom.com/zh/wiki/普利德温号主甲板,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
波士顿机场,Brotherhood of Steel,https://fallout.fandom.com/zh/wiki/波士顿机场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
铁路总部（Railroad HQ）,Railroad,https://fallout.fandom.com/zh/wiki/铁路总部,墓穴中的星火。藏在老北教堂的地下，这个组织像老鼠一样生活，却怀揣着最崇高的理想。密码盘转动的声音是通向自由的钥匙。在这里，你看到的不是宏大的军队，而是一个个随时准备牺牲的特工。他们是为了那些“人造人”而战的疯子，也是废土上最后的良心。,（详见Wiki图片库）建议搜索：辐射4 铁路总部（Railroad HQ） 概念图,核心地标
111号避难所（Vault 111）,Vaults,https://fallout.fandom.com/zh/wiki/111号避难所,这里的空气冻结了时间。作为主角的坟墓与摇篮，它是“明日世界”谎言的终极见证。当你推开那扇沉重的齿轮门，阳光刺痛双眼的瞬间，你不仅是走出了地下，更是从旧时代的余温走进了新世界的残酷。每一个冰冻舱里都装着一个破碎的家庭，这里是复仇的起点，也是孤独的源头。,（详见Wiki图片库）建议搜索：辐射4 111号避难所（Vault 111） 概念图,核心地标
114号避难所（Vault 114）,Vaults,https://fallout.fandom.com/zh/wiki/114号避难所,贫富倒置的社会实验。本来是为波士顿上层精英准备的豪华监狱，却计划让他们住在狭窄的贫民区。虽然没完工，但你依然能看到那些讽刺的标语。尼克·瓦伦丁被囚禁在这里，这让这个避难所充满了黑色电影的侦探片氛围。,（详见Wiki图片库）建议搜索：辐射4 114号避难所（Vault 114） 概念图,核心地标
75号避难所,Vaults,https://fallout.fandom.com/zh/wiki/75号避难所,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
81号避难所（Vault 81）,Vaults,https://fallout.fandom.com/zh/wiki/81号避难所,唯一的净土。这里是所有避难所中唯一真正正常运作且开放的。这里的居民健康、有礼貌，甚至还有学校。它像是一个时间胶囊，保存了战前的道德和秩序。但这里的秘密实验室（81号避难所隐藏区域）却提醒你，这种安宁是建立在这一半居民不知情的牺牲计划之上的。,（详见Wiki图片库）建议搜索：辐射4 81号避难所（Vault 81） 概念图,核心地标
